file,dataset_group,status,error,shape,dimensions,dtype,elements,unique_values,non_finite_values,minimum,maximum
Rehab_assessment/d02_processed_data/156/020_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/020_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,351,0,-2.2812790914649046,2.341371856661387
Rehab_assessment/d02_processed_data/156/021_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/021_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/021_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,448,0,-1.8511971875997233,2.4778536273572627
Rehab_assessment/d02_processed_data/156/022_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/022_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/022_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,387,0,-3.778056143452403,4.4208017413520295
Rehab_assessment/d02_processed_data/156/023_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/023_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/023_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,582,0,-6.281063598593789,21.626318951741922
Rehab_assessment/d02_processed_data/156/024_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/024_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/024_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,646,0,-17.778197507190754,23.13771801395114
Rehab_assessment/d02_processed_data/156/025_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/025_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/025_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,696,0,-28.41569613622005,49.0843372843965
Rehab_assessment/d02_processed_data/156/026_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-149.80134611697014,136.6666155321189
Rehab_assessment/d02_processed_data/156/026_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-90.20143176733745,190.9070647383848
Rehab_assessment/d02_processed_data/156/026_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/000_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1798,0,-67.94359987216359,88.81054138702439
Rehab_assessment/d02_processed_data/157/000_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-42.620393736017846,30.931204230459997
Rehab_assessment/d02_processed_data/157/000_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/001_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-135.59782829540669,122.6604428362945
Rehab_assessment/d02_processed_data/157/001_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-73.62820940758326,106.18474329420836
Rehab_assessment/d02_processed_data/157/001_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/002_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-143.23409590411762,125.26239693192696
Rehab_assessment/d02_processed_data/157/002_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1948,0,-161.45800830936395,112.27684438918179
Rehab_assessment/d02_processed_data/157/002_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/003_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1652,0,-214.94611185682314,154.5111997443272
Rehab_assessment/d02_processed_data/157/003_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1944,0,-114.21738318951742,146.00965420262048
Rehab_assessment/d02_processed_data/157/003_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/004_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1799,0,-41.86861933912091,138.4859838001109
Rehab_assessment/d02_processed_data/157/004_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1946,0,-14.061361457334442,14.956663470757576
Rehab_assessment/d02_processed_data/157/004_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/005_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1797,0,-12.97924320869285,13.528714605305225
Rehab_assessment/d02_processed_data/157/005_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1945,0,-6.269656759348031,5.651532118887822
Rehab_assessment/d02_processed_data/157/005_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/006_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1798,0,-119.44424893948238,196.4586674369306
Rehab_assessment/d02_processed_data/157/006_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-120.8805356343879,186.36800114603298
Rehab_assessment/d02_processed_data/157/006_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/007_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1799,0,-199.10615123579305,286.42509555768606
Rehab_assessment/d02_processed_data/157/007_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1948,0,-72.00968232662308,103.29961776925347
Rehab_assessment/d02_processed_data/157/007_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/008_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,12,0,-1.7763568394002505e-15,7.771561172376096e-16
Rehab_assessment/d02_processed_data/157/008_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-26.160467180134415,34.596232993643184
Rehab_assessment/d02_processed_data/157/008_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/009_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-83.68014160624396,97.38758077161229
Rehab_assessment/d02_processed_data/157/009_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-143.47653435602388,105.30031754666518
Rehab_assessment/d02_processed_data/157/009_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/010_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1799,0,-32.536582933844784,17.228705656759416
Rehab_assessment/d02_processed_data/157/010_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1943,0,-22.27305779695738,11.879985937999372
Rehab_assessment/d02_processed_data/157/010_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/011_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1789,0,-5.515259827420778,4.609188878235955
Rehab_assessment/d02_processed_data/157/011_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1947,0,-17.64216682521372,10.336909363514696
Rehab_assessment/d02_processed_data/157/011_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/012_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1798,0,-147.98073231888176,152.8836926234419
Rehab_assessment/d02_processed_data/157/012_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-97.275149888143,91.39847097277979
Rehab_assessment/d02_processed_data/157/012_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/013_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-114.06216035661845,174.65219932548828
Rehab_assessment/d02_processed_data/157/013_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-88.73554618088838,151.5613801053401
Rehab_assessment/d02_processed_data/157/013_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/014_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-52.17777948226261,75.5678734419945
Rehab_assessment/d02_processed_data/157/014_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1946,0,-13.722644078080053,25.700437200384158
Rehab_assessment/d02_processed_data/157/014_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/015_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/015_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/015_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,321,0,-3.127704779724759,2.4461897167206104
Rehab_assessment/d02_processed_data/157/016_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/016_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/016_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,470,0,-2.0167970023016792,5.967166288801451
Rehab_assessment/d02_processed_data/157/017_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/017_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/017_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,480,0,-7.529622697117841,9.908229910111679
Rehab_assessment/d02_processed_data/157/018_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/018_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/018_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,413,0,-78.65066709071242,50.96675866616628
Rehab_assessment/d02_processed_data/157/019_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/019_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/019_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,478,0,-10.815752424704776,10.754733023793342
Rehab_assessment/d02_processed_data/157/020_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/020_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/020_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,327,0,-4.234828114695645,3.594138172226124
Rehab_assessment/d02_processed_data/157/021_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/021_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/157/021_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,440,0,-3.85712787009048,6.117167146053049
Rehab_assessment/d02_processed_data/157/022_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
